Ventas_UF;Trabajadores_dep_informados;Renta_neta_UF;Trabajadores_pond_meses;Trabajadores_fem_dep_informados;Renta_neta_fem_UF;Trabajadores_fem_pond_meses;Trabajadores_masc_dep_informados;Renta_neta_masc_UF;Trabajadores_masc_pond_meses;N̼mero de trabajadores a honorarios informados;Honorarios pagados informados en UF;Trabajadores a honorarios ponderados por meses trabajados;Trabajadores_fem_honorarios;Honorarios_fem_UF;Trabajadores_fem_honorarios_pond;Trabajadores_masc_honorarios;Honorarios_masc_UF;Trabajadores_masc_honorarios_pond
14345.45;1;85.196;1.0;1;85.196;1.0;0;0.0;0.0;23;624.051;0.0;13;464.254;0.0;10;159.797;0.0
5025.34;2;98.976;1.167;2;98.976;1.167;0;0.0;0.0;11;105.419;0.0;8;81.362;0.0;3;24.057;0.0
4740.48;1;87.841;1.0;1;87.841;1.0;0;0.0;0.0;13;144.689;0.0;6;89.407;0.0;7;55.282;0.0
4369.81;1;88.818;1.0;1;88.818;1.0;0;0.0;0.0;11;122.181;0.0;7;92.27;0.0;4;29.912;0.0
5397.81;1;92.908;1.0;1;92.908;1.0;0;0.0;0.0;14;101.611;0.0;8;78.694;0.0;6;22.917;0.0
7304.8;1;110.757;1.0;1;110.757;1.0;0;0.0;0.0;16;200.506;0.0;10;157.409;0.0;6;43.097;0.0
6244.24;2;185.822;1.583;2;185.822;1.583;0;0.0;0.0;24;506.148;0.0;17;405.784;0.0;7;100.363;0.0
7664.48;7;364.809;3.5;6;271.91;2.583;1;92.898;0.917;24;670.977;17.583;17;594.086;12.083;7;76.891;5.5
6662.68;2;237.413;2.0;1;133.18;1.0;1;104.234;1.0;29;695.98;20.25;23;674.005;17.25;6;21.975;3.0
6623.76;5;410.958;4.583;5;410.958;4.583;0;0.0;0.0;22;810.818;17.167;17;770.29;13.333;5;40.528;3.833
15304.43;7;474.096;4.75;5;359.823;3.417;2;114.273;1.333;36;1.058.166;27.417;27;995.505;22.167;9;62.661;5.25
18864.82;17;995.96;10.0;7;537.225;4.917;10;458.736;5.083;46;1.095.641;29.833;33;959.02;22.0;13;136.621;7.833
28118.28;25;1.463.716;14.167;13;825.734;7.667;12;637.982;6.5;48;1078.1;31.167;33;914.039;21.333;15;164.061;9.833
49088.87;36;2.943.019;23.833;20;1.550.598;13.0;16;1392.42;10.833;94;2.123.116;54.0;46;1.128.404;26.5;48;994.712;27.5
54877.63;29;2.365.106;17.333;20;1.729.473;12.833;9;635.633;4.5;95;3.172.134;59.333;54;2.395.213;33.583;41;776.92;25.75
18684.13;25;1.803.749;12.917;19;1.402.511;9.583;6;401.238;3.333;90;2.134.757;29.167;55;1.527.461;14.917;35;607.297;14.25
